ID;en;fr;
LOCATION_EXAMPLE;Location Example;Location Example;
SAVE;Save;Enregistrer;
PREFERENCES;Preferences;Parametres;
LOCATION_STATUS;Location status;Statut de la localisation;
LOCATE_ME;Locate me;Me localiser;
TRACK_MY_LOCATION;Track my location;Suivre ma localisation;
LAST_KNOWN_LOCATION;Last known location;Ma derniere position;
PROXIMITY;Proximity;Proximite;
DISTANCE_TO;Distance to;Distance vers;
GEOCODER;Geocoder;Geocode;
LATITUDE;Latitude : ;Latitude : ;
LONGITUDE;Longitude : ;Longitude : ;
ALTITUDE;Altitude : ;Altitude : ;
SPEED;Speed : ;Vitesse : ;
BEARING;Bearing : ;Orientation : ;
TIMESTAMP;Timestamp : ;Temps : ;
START;Start;Commencer;
STOP;Stop;Arreter;
DEFAULT;Use default criteria;Utiliser le critere par defaut;
ACCURACY;Accuracy;Precision;
MIN_TIME;Minimum time;Temps minimal;
MIN_DISTANCE;Minimum distance;Distance minimale;
POWER_REQUIREMENT;Power requirement;Consommation de la batterie;
COST_ALLOWED;Cost allowed;Cout monetaire;
ALTITUDE_REQUIRED;Altitude required;altitude requise;
RADIUS;Radius;Rayon;
MANAGE;Manage Regions;Gerer les regions;
ADD;Add Region;Ajouter Region;
MONITORED_REGIONS;Monitored Regions;Regions gerees;
EDIT;Edit;Modifier;
CANCEL;Cancel;Annuler;
DELETE;Delete;Effacer;
TXT_NOT_SUPPORTED;Location API is not supported in Windows Store apps.;L'API Location n'est pas supportée en Windows Store apps.;
LOCATION_DISABLED_BY_USER;If the location is disabled, a lot of features won't be available in the application;En désactivant la localisation, la majorité des fonctionnalités ne seront pas accessibles dans l'application;

